username,followers,following,posts,bio_length,has_profile_picture,account_age_days,fake
user_98,52,1777,15,2,0,5,1.0
user_581,57,715,17,2,0,96,1.0
user_374,23,1819,23,19,0,9,1.0
user_105,14,845,0,19,0,76,1.0
user_777,6089,488,630,157,1,534,0.0
user_12,23,1872,27,5,0,95,1.0
user_664,8791,154,408,68,1,135,0.0
user_687,6719,205,647,148,1,1011,0.0
user_492,15,1631,15,13,0,2,1.0
user_726,767,403,843,65,1,1039,0.0
user_182,27,1502,0,14,0,39,1.0
user_433,65,1475,25,19,1,76,1.0
user_88,47,629,11,19,0,67,1.0
user_196,2,1586,26,14,0,56,1.0
user_946,6867,450,856,168,1,821,0.0
user_205,43,1222,15,11,0,40,1.0
user_668,4412,132,869,105,1,947,0.0
user_150,26,1468,42,8,0,92,1.0
user_927,332,153,656,119,1,1004,0.0
user_912,5850,160,711,88,1,541,0.0
user_571,80,1570,14,10,1,4,1.0
user_129,33,1513,49,6,1,49,1.0
user_198,71,1060,24,13,1,31,1.0
user_307,74,1213,14,10,0,31,1.0
user_72,1,1016,13,2,1,76,1.0
user_771,8802,225,128,133,1,1023,0.0
user_73,5,1364,38,12,0,72,1.0
user_548,49,1842,14,18,0,31,1.0
user_267,95,664,45,3,0,15,1.0
user_652,1642,58,932,132,1,1463,0.0
user_375,92,510,15,13,0,60,1.0
user_163,93,1733,19,16,1,64,1.0
user_297,98,1433,45,1,0,80,1.0
user_508,91,1457,39,0,0,22,1.0
user_484,0,1481,4,8,0,27,1.0
user_723,5163,476,817,24,1,171,0.0
user_266,19,951,7,1,0,44,1.0
user_116,10,1182,46,12,1,87,1.0
user_882,4243,319,484,72,1,1019,0.0
user_365,16,1519,27,18,0,70,1.0
user_733,639,16,643,67,1,292,0.0
user_998,2094,172,69,47,0,1139,0.0
user_66,34,1934,36,8,0,42,1.0
user_7,86,1087,21,3,0,65,1.0
user_616,4271,175,581,84,1,1484,0.0
user_94,39,1293,10,3,0,10,1.0
user_188,91,1466,17,16,0,61,1.0
user_329,13,528,41,2,0,98,1.0
user_730,3819,323,613,134,1,153,0.0
user_524,22,1076,33,3,1,5,1.0
user_604,3014,24,586,190,1,1061,0.0
user_622,5586,175,910,88,0,1360,0.0
user_834,237,92,610,35,1,1062,0.0
user_78,62,727,5,16,0,27,1.0
user_260,58,1611,34,10,0,4,1.0
user_246,68,812,20,5,0,49,1.0
user_68,80,788,37,4,0,48,1.0
user_871,7081,385,714,93,1,743,0.0
user_142,98,1482,32,17,1,5,1.0
user_271,39,1234,45,0,1,81,1.0
user_208,58,1169,4,19,1,63,1.0
user_387,66,1257,24,13,0,47,1.0
user_153,14,701,49,3,1,23,1.0
user_941,9604,427,679,79,1,1309,0.0
user_620,2882,36,439,128,1,520,0.0
user_520,38,1420,32,17,0,32,1.0
user_787,2148,174,136,66,1,1398,0.0
user_190,61,1607,25,19,0,92,1.0
user_515,15,1963,21,14,1,70,1.0
user_992,5387,242,258,37,1,439,0.0
user_478,89,682,22,9,0,52,1.0
user_328,32,941,15,14,1,60,1.0
user_380,59,1243,3,8,0,18,1.0
user_599,22,1855,12,19,1,67,1.0
user_273,81,1443,2,19,0,19,1.0
user_541,1,686,25,1,0,19,1.0
user_9,74,1819,31,9,0,62,1.0
user_286,15,1314,33,14,1,32,1.0
user_550,32,1867,36,6,0,95,1.0
user_769,1733,481,249,194,1,398,0.0
user_47,20,1562,2,17,1,68,1.0
user_69,35,1777,44,19,0,40,1.0
user_633,2256,348,827,126,1,1196,0.0
user_20,1,504,48,19,0,23,1.0
user_817,6341,444,401,193,0,1471,0.0
user_44,2,1002,38,3,1,66,1.0
user_767,4884,470,825,88,1,726,0.0
user_545,83,1209,34,9,1,57,1.0
user_401,26,1973,20,10,0,99,1.0
user_851,7450,386,908,145,1,521,0.0
user_747,3424,174,241,198,1,1487,0.0
user_937,5501,142,402,184,1,373,0.0
user_41,50,644,33,18,0,19,1.0
user_640,7430,39,976,49,0,159,0.0
user_498,92,1045,19,0,0,54,1.0
user_181,27,562,33,11,0,76,1.0
user_881,2978,477,337,129,1,390,0.0
user_959,8759,327,925,159,1,243,0.0
user_722,1453,36,357,158,1,830,0.0
user_220,55,1698,12,9,0,47,1.0
user_737,6142,393,782,89,1,805,0.0
user_973,4308,389,454,32,1,1374,0.0
user_481,22,538,21,8,0,21,1.0
user_835,6427,308,853,85,1,819,0.0
user_875,2693,63,173,167,1,1383,0.0
user_507,77,528,19,15,0,93,1.0
user_925,7661,76,332,181,1,961,0.0
user_152,78,1660,24,17,1,86,1.0
user_983,3844,13,442,119,1,722,0.0
user_701,2205,222,875,38,1,867,0.0
user_931,9785,165,93,160,1,1284,0.0
user_748,5813,284,66,194,1,1327,0.0
user_343,29,1676,43,0,1,15,1.0
user_240,54,1999,44,2,1,35,1.0
user_145,2,1066,11,4,0,87,1.0
user_530,94,645,44,19,1,58,1.0
user_663,1465,190,150,184,1,1273,0.0
user_832,4992,472,512,142,1,447,0.0
user_354,27,767,3,19,0,17,1.0
user_502,15,1664,44,11,0,87,1.0
user_770,7366,429,994,50,1,1200,0.0
user_867,5685,443,322,50,1,1048,0.0
user_653,5393,58,312,48,1,224,0.0
user_74,53,1641,24,10,0,88,1.0
user_549,34,1825,21,8,0,83,1.0
user_934,6838,173,732,131,1,370,0.0
user_330,20,1632,35,13,0,43,1.0
user_961,6066,347,564,61,0,319,0.0
user_296,8,1304,5,19,0,59,1.0
user_497,21,1693,7,12,0,69,1.0
user_57,52,1754,35,19,1,32,1.0
user_922,3696,460,262,166,1,1480,0.0
user_27,21,1100,3,15,0,54,1.0
user_400,65,653,32,2,0,78,1.0
user_603,5744,39,966,182,1,281,0.0
user_628,5688,113,516,64,1,435,0.0
user_757,7518,28,146,192,1,752,0.0
user_100,25,1049,28,3,0,58,1.0
user_659,1640,344,821,128,1,773,0.0
user_853,6190,45,819,46,1,1210,0.0
user_874,2493,394,895,71,1,829,0.0
user_836,3572,7,431,187,0,599,0.0
user_111,87,1457,0,13,1,87,1.0
user_295,31,760,22,2,1,40,1.0
user_89,14,1934,35,16,0,24,1.0
user_532,18,931,40,0,1,93,1.0
user_798,8965,91,326,84,1,366,0.0
user_108,88,895,7,9,1,26,1.0
user_244,37,1531,6,10,1,86,1.0
user_648,7341,335,378,54,0,626,0.0
user_818,8117,162,569,147,1,1338,0.0
user_843,5669,386,168,85,0,457,0.0
user_346,53,1087,12,13,1,73,1.0
user_339,75,540,29,12,0,23,1.0
user_928,9461,405,512,101,1,1369,0.0
user_49,38,1078,17,16,1,90,1.0
user_134,87,1820,19,19,0,38,1.0
user_681,4368,157,568,146,1,798,0.0
user_434,31,1209,37,18,0,60,1.0
user_679,9005,362,817,104,1,579,0.0
user_302,19,1439,20,10,0,45,1.0
user_87,94,1343,39,4,0,34,1.0
user_465,54,1114,2,19,0,30,1.0
user_915,2076,415,583,83,1,489,0.0
user_614,7500,250,592,195,1,944,0.0
user_312,98,1235,3,15,1,43,1.0
user_224,1,1487,40,4,0,13,1.0
user_462,93,1494,37,2,0,93,1.0
user_952,2690,358,160,30,1,1295,0.0
user_981,7088,187,161,185,0,1074,0.0
user_588,9,828,30,3,0,24,1.0
user_157,50,1436,46,16,0,10,1.0
user_351,20,1230,41,2,0,67,1.0
user_862,771,339,941,166,1,1429,0.0
user_63,43,1620,13,13,1,56,1.0
user_626,4591,460,109,86,1,462,0.0
user_889,155,10,271,27,0,627,0.0
user_645,6901,261,954,189,1,1201,0.0
user_64,7,1520,13,10,0,28,1.0
user_488,95,1684,46,8,0,25,1.0
user_885,1376,494,937,41,0,1406,0.0
user_743,2879,209,603,174,1,1046,0.0
user_793,5076,194,532,132,1,1355,0.0
user_84,61,1680,36,13,1,88,1.0
user_213,61,1667,49,17,0,81,1.0
user_883,3744,337,735,171,1,391,0.0
user_235,89,1981,17,5,0,15,1.0
user_839,3679,173,666,181,1,178,0.0
user_557,64,1833,17,15,0,66,1.0
user_684,9535,81,575,158,1,1227,0.0
user_950,9452,261,177,43,1,704,0.0
user_418,59,1365,34,7,1,42,1.0
user_878,6290,71,463,33,1,1301,0.0
user_527,99,1665,32,18,0,75,1.0
user_661,5641,169,601,87,1,413,0.0
user_309,35,1131,35,2,1,8,1.0
user_342,21,1540,30,18,0,18,1.0
user_637,6641,55,828,78,1,604,0.0
user_844,4400,348,239,32,1,717,0.0
user_293,68,1642,42,15,1,79,1.0
user_591,63,1790,45,1,1,26,1.0
user_167,28,1139,49,5,0,37,1.0
user_482,8,996,43,4,0,64,1.0
user_126,72,1508,5,3,0,21,1.0
user_609,1465,471,849,57,1,1219,0.0
user_610,4592,123,177,83,1,877,0.0
user_409,38,541,6,11,0,21,1.0
user_36,14,1546,35,18,0,63,1.0
user_176,41,1703,37,1,0,60,1.0
user_125,6,1629,14,10,1,3,1.0
user_252,96,1762,20,10,1,5,1.0
user_691,3172,294,435,160,1,416,0.0
user_539,23,1463,2,8,0,7,1.0
user_288,59,1245,36,11,0,13,1.0
user_698,1028,232,710,101,1,471,0.0
user_859,3366,272,961,177,1,749,0.0
user_938,1861,481,745,164,1,358,0.0
user_906,7773,462,712,106,1,1213,0.0
user_75,3,1305,19,16,1,80,1.0
user_917,6329,352,846,175,1,1167,0.0
user_274,0,506,20,1,0,20,1.0
user_501,25,1258,29,18,0,19,1.0
user_439,24,988,45,12,1,59,1.0
user_662,9680,355,834,88,1,431,0.0
user_725,7675,195,678,188,1,740,0.0
user_886,5911,94,966,49,1,476,0.0
user_562,43,1630,41,11,0,16,1.0
user_704,1952,447,950,27,1,142,0.0
user_232,1,554,18,17,0,14,1.0
user_727,4568,351,559,31,0,707,0.0
user_984,9193,458,549,128,1,1417,0.0
user_556,66,1271,37,2,0,2,1.0
user_373,36,648,7,14,0,3,1.0
user_13,2,1372,9,7,0,17,1.0
user_749,7126,203,169,23,1,311,0.0
user_537,3,1316,0,6,0,9,1.0
user_308,71,1681,24,14,0,3,1.0
user_34,59,1299,31,16,0,21,1.0
user_146,0,870,41,16,0,68,1.0
user_714,3684,232,721,136,1,899,0.0
user_438,50,1791,44,11,0,90,1.0
user_760,2293,133,875,132,1,151,0.0
user_942,1560,304,68,139,0,463,0.0
user_113,7,1484,27,15,1,50,1.0
user_494,63,1973,16,10,0,96,1.0
user_587,35,1612,35,15,0,2,1.0
user_830,7830,59,970,80,0,433,0.0
user_174,27,1163,28,1,0,2,1.0
user_369,92,1815,14,6,0,84,1.0
user_812,4773,57,540,54,1,1198,0.0
user_65,46,1496,1,6,1,1,1.0
user_919,225,224,515,140,1,118,0.0
user_366,43,1886,8,8,0,35,1.0
user_849,860,315,725,155,1,343,0.0
user_117,80,1983,36,5,1,4,1.0
user_147,4,1435,19,18,1,91,1.0
user_536,68,898,8,8,0,42,1.0
user_708,9542,495,291,120,1,1478,0.0
user_268,70,681,13,5,0,19,1.0
user_428,75,715,38,18,1,6,1.0
user_605,5068,260,128,145,1,755,0.0
user_486,0,1920,28,18,0,29,1.0
user_431,91,1604,18,18,0,48,1.0
user_791,5665,458,484,27,1,1492,0.0
user_517,89,876,7,14,0,57,1.0
user_903,1631,376,409,37,1,207,0.0
user_921,6388,232,590,126,1,706,0.0
user_322,79,1724,26,0,1,30,1.0
user_248,69,942,0,0,1,89,1.0
user_813,4630,379,491,123,1,404,0.0
user_67,77,1450,4,15,0,82,1.0
user_480,61,863,7,8,0,77,1.0
user_731,2845,218,673,166,1,627,0.0
user_467,51,1682,2,12,0,16,1.0
user_231,18,1424,37,7,0,35,1.0
user_136,98,1930,28,15,1,52,1.0
user_110,8,640,11,2,1,34,1.0
user_671,3241,313,471,106,1,828,0.0
user_154,89,1959,28,9,0,64,1.0
user_55,8,1812,25,5,0,52,1.0
user_178,61,1684,46,15,0,30,1.0
user_91,77,1126,22,4,0,26,1.0
user_440,57,546,35,2,0,27,1.0
user_318,81,1051,13,6,1,71,1.0
user_443,21,1539,32,1,1,72,1.0
user_314,98,1638,12,1,0,73,1.0
user_657,2781,362,658,145,1,721,0.0
user_795,7339,381,66,49,1,151,0.0
user_967,946,382,881,60,1,515,0.0
user_554,42,1676,48,1,0,59,1.0
user_140,34,919,36,13,0,21,1.0
user_189,88,1348,16,6,1,54,1.0
user_529,51,823,49,7,0,22,1.0
user_24,32,1933,23,13,0,50,1.0
user_426,15,511,48,14,0,90,1.0
user_133,61,1819,36,10,1,97,1.0
user_170,31,1375,49,9,1,93,1.0
user_790,8039,21,670,133,1,841,0.0
user_888,738,31,593,78,1,607,0.0
user_419,6,1023,6,12,0,82,1.0
user_936,2839,497,750,198,1,271,0.0
user_845,6369,447,816,130,0,606,0.0
user_367,91,1318,25,19,0,22,1.0
user_493,60,1393,11,18,1,22,1.0
user_665,9972,421,429,160,1,1145,0.0
user_699,5129,16,699,123,1,954,0.0
user_464,98,1966,49,12,1,76,1.0
user_344,37,1497,9,5,0,40,1.0
user_11,99,1417,2,4,0,43,1.0
user_305,32,1803,15,4,1,96,1.0
user_368,29,1192,8,12,1,65,1.0
user_951,8534,72,278,127,1,121,0.0
user_711,3476,413,742,166,0,182,0.0
user_621,5046,315,721,197,1,1369,0.0
user_207,78,531,47,9,0,65,1.0
user_490,88,992,41,12,0,63,1.0
user_265,18,990,34,12,1,7,1.0
user_0,51,1618,28,15,0,78,1.0
user_427,13,1841,10,8,0,16,1.0
user_112,0,1733,19,9,0,95,1.0
user_407,42,560,34,4,1,11,1.0
user_789,816,83,434,38,1,1041,0.0
user_424,64,1540,38,13,0,99,1.0
user_225,91,1636,10,7,0,17,1.0
user_613,495,327,702,181,1,907,0.0
user_838,2932,26,639,138,0,784,0.0
user_14,21,1752,34,6,0,97,1.0
user_326,32,503,34,14,1,93,1.0
user_332,19,1304,17,13,1,23,1.0
user_333,7,574,1,3,1,69,1.0
user_827,4737,207,697,192,1,964,0.0
user_8,74,1012,36,19,1,42,1.0
user_495,62,810,15,12,1,16,1.0
user_194,61,841,48,14,1,58,1.0
